CCN,NETWORK,Facility Name,Five Star Date,Five Star,Five Star Data Availability Code,Address Line 1,Address Line 2,City,State,Zip,County,dfc_closed,full_address,latitude,longitude
182530,9,DCI - FRANKFORT,01/01/2015 - 12/31/2018,4,1,"1038 BURLINGTON LANE SUITE B,C,D",,FRANKFORT,KY,40601,FRANKLIN,open,"1038 BURLINGTON LANE SUITE B,C,D, FRANKFORT, KY 40601",38.151232,-84.89302
182532,9,FMC - CENTRAL RICHMOND,01/01/2015 - 12/31/2018,3,1,1036 CENTER DR STE C,,RICHMOND,KY,40475,MADISON,open,"1036 CENTER DR STE C, RICHMOND, KY 40475",37.730641,-84.26982
182533,9,DCI - RICHMOND,01/01/2015 - 12/31/2018,4,1,100 KEYSTONE DRIVE,,RICHMOND,KY,40475,MADISON,open,"100 KEYSTONE DRIVE, RICHMOND, KY 40475",37.778429,-84.323943
182534,9,FMC - SUBURBAN,01/01/2015 - 12/31/2018,5,1,3991 DUTCHMANS LANE  SUITE G-02,,LOUISVILLE,KY,40207,JEFFERSON,open,"3991 DUTCHMANS LANE  SUITE G-02, LOUISVILLE, KY 40207",38.235137,-85.633639
182535,9,FMC - SHELBYVILLE,01/01/2015 - 12/31/2018,5,1,150 STONECREST RD.,,SHELBYVILLE,KY,40065,SHELBY,open,"150 STONECREST RD., SHELBYVILLE, KY 40065",38.209902,-85.251938
182536,9,FMC - CENTRAL CITY,01/01/2015 - 12/31/2018,5,1,401 W. WHITMER ST.,,CENTRAL CITY,KY,42330,MUHLENBERG,open,"401 W. WHITMER ST., CENTRAL CITY, KY 42330",37.30139,-87.14266
182537,9,ARA - UNIVERSITY KIDNEY CENTER 3RD STREET,01/01/2015 - 12/31/2018,3,1,635 SOUTH 3RD STREET,,LOUISVILLE,KY,40202,JEFFERSON,closed,"635 SOUTH 3RD STREET, LOUISVILLE, KY 40202",38.247633,-85.756039
182538,9,DAVITA - EASTERN KENTUCKY DIALYSIS,01/01/2015 - 12/31/2018,3,1,167  WEDDINGTON BRANCH ROAD,,PIKEVILLE,KY,41501,PIKE,open,"167  WEDDINGTON BRANCH ROAD, PIKEVILLE, KY 41501",37.528125,-82.562367
182540,9,FMC - PIKEVILLE,01/01/2015 - 12/31/2018,3,1,146 ADAMS LANE,,PIKEVILLE,KY,41501,PIKE,open,"146 ADAMS LANE, PIKEVILLE, KY 41501",37.485757,-82.545962
182541,9,DCI - MAYSVILLE,01/01/2015 - 12/31/2018,4,1,1210 POPE DRIVE,,MAYSVILLE,KY,41056,MASON,open,"1210 POPE DRIVE, MAYSVILLE, KY 41056",38.639785,-83.81701
182542,9,DAVITA - SOUTH HILL DIALYSIS,01/01/2015 - 12/31/2018,3,1,525 ALEXANDRIA PIKE SUITE 120,,SOUTHGATE,KY,41071,CAMPBELL,closed,"525 ALEXANDRIA PIKE SUITE 120, SOUTHGATE, KY 41071",39.06424,-84.462733
182543,9,FMC - SOUTHWEST,01/01/2015 - 12/31/2018,4,1,9616 DIXIE HWY.,,VALLEY STATION,KY,40272,JEFFERSON,open,"9616 DIXIE HWY., VALLEY STATION, KY 40272",38.11655,-85.860617
182544,9,DAVITA - GARDENSIDE DIALYSIS,01/01/2015 - 12/31/2018,5,1,70 N GARDENMILE ROAD,,HENDERSON,KY,42420,HENDERSON,open,"70 N GARDENMILE ROAD, HENDERSON, KY 42420",37.82366,-87.5581
182547,9,DAVITA - OWENSBORO DIALYSIS CENTER,01/01/2015 - 12/31/2018,5,1,1930 EAST PARRISH AVENUE,,OWENSBORO,KY,42303,DAVIESS,open,"1930 EAST PARRISH AVENUE, OWENSBORO, KY 42303",37.76443,-87.08281
182548,9,DAVITA - PAINTSVILLE DIALYSIS,01/01/2015 - 12/31/2018,3,1,4750 HIGHWAY 321 SOUTH,,HAGERHILL,KY,41222,JOHNSON,closed,"4750 HIGHWAY 321 SOUTH, HAGERHILL, KY 41222",37.778515,-82.792855
182549,9,DAVITA - CHRISTIAN COUNTY DIALYSIS,01/01/2015 - 12/31/2018,4,1,200 BURLEY AVE,,HOPKINSVILLE,KY,42240,CHRISTIAN,open,"200 BURLEY AVE, HOPKINSVILLE, KY 42240",36.825124,-87.505547
182550,9,FMC - DANVILLE,01/01/2015 - 12/31/2018,3,1,100 WOODLAWN WAY,,DANVILLE,KY,40422,BOYLE,open,"100 WOODLAWN WAY, DANVILLE, KY 40422",37.648239,-84.791818
182551,9,FMC - KUTTAWA DIALYSIS,01/01/2015 - 12/31/2018,5,1,95 LAKESHORE DR,,KUTTAWA,KY,42055,LYON,open,"95 LAKESHORE DR, KUTTAWA, KY 42055",37.06282,-88.13471
182552,9,FMC -  DIALYSIS OF PADUCAH,01/01/2015 - 12/31/2018,3,1,"1532 LONE OAK ROAD, SUITE G15",,PADUCAH,KY,42003,MCCRACKEN,open,"1532 LONE OAK ROAD, SUITE G15, PADUCAH, KY 42003",37.050117,-88.64776
182553,9,FMC  - DIALYSIS OF MURRAY,01/01/2015 - 12/31/2018,4,1,609 SOUTH 12TH STREET,,MURRAY,KY,42071,CALLOWAY,open,"609 SOUTH 12TH STREET, MURRAY, KY 42071",36.598902,-88.314839
182554,9,FMC -  DIALYSIS OF MAYFIELD,01/01/2015 - 12/31/2018,3,1,1029 MEDICAL CENTER CIRCLE STE 301,,MAYFIELD,KY,42066,GRAVES,open,"1029 MEDICAL CENTER CIRCLE STE 301, MAYFIELD, KY 42066",36.758675,-88.650971
182555,9,FMC - MT. STERLING,01/01/2015 - 12/31/2018,5,1,55 STERLING WAY,,MOUNT STERLING,KY,40353,MONTGOMERY,open,"55 STERLING WAY, MOUNT STERLING, KY 40353",38.04769,-83.941711
182556,9,FMC-  LEXINGTON SOUTH DIALYSIS,01/01/2015 - 12/31/2018,3,1,171 N  EAGLE CREEK DR  STE 110,,LEXINGTON,KY,40509,FAYETTE,open,"171 N  EAGLE CREEK DR  STE 110, LEXINGTON, KY 40509",38.00173,-84.439358
182558,9,FMC - KENTUCKY RENAL CARE GROUP - LEXINGTON EAST,01/01/2015 - 12/31/2018,3,1,"1101 WINCHESTER RD., SUITE 100",,LEXINGTON,KY,40505,FAYETTE,closed,"1101 WINCHESTER RD., SUITE 100, LEXINGTON, KY 40505",38.042458,-84.466057
182559,9,FMC - SOUTH PADUCAH,01/01/2015 - 12/31/2018,3,1,1061 HUSBAND RD,,PADUCAH,KY,42003,MCCRACKEN,open,"1061 HUSBAND RD, PADUCAH, KY 42003",37.051806,-88.581925
182560,9,FMC - PAINTSVILLE,01/01/2015 - 12/31/2018,3,1,620 JEFFERSON AVE,,PAINTSVILLE,KY,41240,JOHNSON,open,"620 JEFFERSON AVE, PAINTSVILLE, KY 41240",37.809911,-82.7999
182561,9,FMC - CALDWELL COUNTY DIALYSIS,01/01/2015 - 12/31/2018,5,1,401 S. JEFFERSON STREET,,PRINCETON,KY,42445,CALDWELL,closed,"401 S. JEFFERSON STREET, PRINCETON, KY 42445",37.104103,-87.884644
182562,9,FMC - GREENUP,01/01/2015 - 12/31/2018,5,1,965 TOWNHILL PLAZA,,GREENUP,KY,41144,GREENUP,open,"965 TOWNHILL PLAZA, GREENUP, KY 41144",38.57472,-82.84209
182563,9,FMC - LEXINGTON NORTH,01/01/2015 - 12/31/2018,3,1,"1610  LEESTOWN RD., SUITE 180",,LEXINGTON,KY,40511,FAYETTE,open,"1610  LEESTOWN RD., SUITE 180, LEXINGTON, KY 40511",38.066095,-84.52748
182565,9,FMC - NA HARLAN,01/01/2015 - 12/31/2018,2,1,136 VILLAGE CENTER RD,,HARLAN,KY,40831,HARLAN,open,"136 VILLAGE CENTER RD, HARLAN, KY 40831",36.815474,-83.317453
182566,9,DAVITA - RAVEN ROCK,01/01/2015 - 12/31/2018,3,1,483 GATEWAY INDUSTRIAL PARK,,JENKINS,KY,41537,LETCHER,open,"483 GATEWAY INDUSTRIAL PARK, JENKINS, KY 41537",37.162854,-82.649256
182567,9,FMC-SOUTH CENTRAL LOUISVILLE,01/01/2015 - 12/31/2018,4,1,"8319 PRESTON HIGHWAY SUITE C,D,E",,LOUISVILLE,KY,40219,JEFFERSON,open,"8319 PRESTON HIGHWAY SUITE C,D,E, LOUISVILLE, KY 40219",38.13131,-85.68209
182568,9,DAVITA - BARDSTOWN DIALYSIS,01/01/2015 - 12/31/2018,3,1,210 W JOHN FITCH AVENUE,,BARDSTOWN,KY,40004,NELSON,open,"210 W JOHN FITCH AVENUE, BARDSTOWN, KY 40004",37.808642,-85.46954
182569,9,FMC - NALCO HOME PROGRAM,01/01/2015 - 12/31/2018,Not Available,260,3284 EAGLE VIEW DRIVE,SUITE 120,LEXINGTON,KY,40509,FAYETTE,open,"3284 EAGLE VIEW DRIVE, LEXINGTON, KY 40509",38.00012,-84.44383
182570,9,DAVITA - LOUISVILLE DIALYSIS,01/01/2015 - 12/31/2018,3,1,8037 DIXIE HIGHWAY,,LOUISVILLE,KY,40258,JEFFERSON,open,"8037 DIXIE HIGHWAY, LOUISVILLE, KY 40258",38.1336,-85.845034
182572,9,DAVITA - LAGRANGE DIALYSIS CENTER,01/01/2015 - 12/31/2018,3,1,240 PARKER DRIVE,,LA GRANGE,KY,40031,OLDHAM,open,"240 PARKER DRIVE, LA GRANGE, KY 40031",38.398082,-85.378924
182573,9,FMC - JACKSON,01/01/2015 - 12/31/2018,4,1,"1550  US HIGHWAY 15 SOUTH, STE 30",,JACKSON,KY,41339,BREATHITT,open,"1550  US HIGHWAY 15 SOUTH, STE 30, JACKSON, KY 41339",37.515405,-83.345979
182574,9,DAVITA - LEITCHFIELD DIALYSIS,01/01/2015 - 12/31/2018,5,1,"912 WALLACE AVE.,  SUITE 106",,LEITCHFIELD,KY,42754,GRAYSON,open,"912 WALLACE AVE.,  SUITE 106, LEITCHFIELD, KY 42754",37.47254,-86.28957
182575,9,FMC - DIALYSIS SERVICES OF OLDHAM COUNTY,01/01/2015 - 12/31/2018,5,1,"2100 BUTTON LANE, SUITE 105",,LAGRANGE,KY,40031,OLDHAM,open,"2100 BUTTON LANE, SUITE 105, LAGRANGE, KY 40031",38.394199,-85.403291
182576,9,FMC - BARDSTOWN,01/01/2015 - 12/31/2018,2,1,"317 KENTUCKY HOME SQUARE, SUITE 3",,BARDSTOWN,KY,40004,NELSON,open,"317 KENTUCKY HOME SQUARE, SUITE 3, BARDSTOWN, KY 40004",37.825477,-85.466397
182577,9,DAVITA - SPRINGHURST DIALYSIS CENTER,01/01/2015 - 12/31/2018,4,1,10201 CHAMPION FARMS DR,,LOUISVILLE,KY,40241,JEFFERSON,open,"10201 CHAMPION FARMS DR, LOUISVILLE, KY 40241",38.296967,-85.563446
182578,9,FMC - NA OF GRAYSON,01/01/2015 - 12/31/2018,2,1,286 STATE HIGHWAY 1947,,GRAYSON,KY,41143,CARTER,open,"286 STATE HIGHWAY 1947, GRAYSON, KY 41143",38.346633,-82.944289
182580,9,DAVITA - LOUISA  DIALYSIS,01/01/2015 - 12/31/2018,2,1,2145 HIGHWAY 2565,,LOUISA,KY,41230,LAWRENCE,closed,"2145 HIGHWAY 2565, LOUISA, KY 41230",38.095595,-82.614833
182581,9,DAVITA WEST BROADWAY DIALYSIS,01/01/2015 - 12/31/2018,3,1,720 WEST BROADWAY,,LOUISVILLE,KY,40202,JEFFERSON,open,"720 WEST BROADWAY, LOUISVILLE, KY 40202",38.2463,-85.76455
182582,9,DAVITA - TURFWAY DIALYSIS,01/01/2015 - 12/31/2018,4,1,"11 SPIRAL DRIVE, SUITE 15A",,FLORENCE,KY,41042,BOONE,open,"11 SPIRAL DRIVE, SUITE 15A, FLORENCE, KY 41042",39.01871,-84.640667
182583,9,DAVITA - COLD SPRING DIALYSIS,01/01/2015 - 12/31/2018,4,1,430 CROSSROADS BLVD,,COLD SPRING,KY,41076,CAMPBELL,open,"430 CROSSROADS BLVD, COLD SPRING, KY 41076",39.005121,-84.42261
182584,9,"FRESENIUS MEDICAL CARE NAK FRANKFORT, LLC",01/01/2015 - 12/31/2018,3,1,608 CHAMBERLIN AVE.,,FRANKFORT,KY,40601,FRANKLIN,open,"608 CHAMBERLIN AVE., FRANKFORT, KY 40601",38.158915,-84.913535
182586,9,DAVITA-TURFWAY PD TRAINING,01/01/2015 - 12/31/2018,5,1,"11 SPIRAL DRIVE, SUITE 15A",,FLORENCE,KY,41042,BOONE,open,"11 SPIRAL DRIVE, SUITE 15A, FLORENCE, KY 41042",39.01871,-84.640667
182587,9,FMC - GEORGETOWN DIALYSIS CLINIC,01/01/2015 - 12/31/2018,4,1,98 MARY LYNN DRIVE,,GEORGETOWN,KY,40324,SCOTT,open,"98 MARY LYNN DRIVE, GEORGETOWN, KY 40324",38.17992,-84.55891
182588,9,FMC - NICHOLASVILLE DIALYSIS,01/01/2015 - 12/31/2018,5,1,115 ORCHARD PLACE DR.,,NICHOLASVILLE,KY,40356,JESSAMINE,open,"115 ORCHARD PLACE DR., NICHOLASVILLE, KY 40356",37.880377,-84.573024
182589,9,DAVITA - MAYSVILLE,01/01/2015 - 12/31/2018,4,1,489 TUCKER DRIVE,,MAYSVILLE,KY,41056,MASON,open,"489 TUCKER DRIVE, MAYSVILLE, KY 41056",38.62656,-83.797229
182590,9,FMC - NORTHEAST LOUISVILLE,01/01/2015 - 12/31/2018,5,1,3701 CHAMBERLAIN LANE,,LOUISVILLE,KY,40241,JEFFERSON,open,"3701 CHAMBERLAIN LANE, LOUISVILLE, KY 40241",38.301633,-85.545089
182591,9,FMC - BOONE COUNTY,01/01/2015 - 12/31/2018,3,1,7205 DIXIE HIGHWAY,,FLORENCE,KY,41042,BOONE,open,"7205 DIXIE HIGHWAY, FLORENCE, KY 41042",38.998503,-84.625688
182592,9,DAVITA - MEADOWS EAST,01/01/2015 - 12/31/2018,3,1,"2529 SIX MILE LANE, SUITE B",,LOUISVILLE,KY,40220,JEFFERSON,open,"2529 SIX MILE LANE, SUITE B, LOUISVILLE, KY 40220",38.208235,-85.586822
182594,9,FMC - MADISONVILLE DIALYSIS,01/01/2015 - 12/31/2018,4,1,1020 WATERFALL COURT,,MADISONVILLE,KY,42431,HOPKINS,open,"1020 WATERFALL COURT, MADISONVILLE, KY 42431",37.350665,-87.483838
182595,9,DAVITA - WILLIAMSTOWN DIALYSIS,01/01/2015 - 12/31/2018,5,1,"103 BARNES ROAD, STE. A",,WILLIAMSTOWN,KY,41097,GRANT,open,"103 BARNES ROAD, STE. A, WILLIAMSTOWN, KY 41097",38.652472,-84.574394
182596,9,FMC - LEBANON MARION COUNTY,01/01/2015 - 12/31/2018,5,1,"703 EAST MAIN STREET, SUITE 2",,LEBANON,KY,40033,MARION,open,"703 EAST MAIN STREET, SUITE 2, LEBANON, KY 40033",37.57674,-85.234914
182597,9,DAVITA - MADISONVILLE DIALYSIS CENTER,01/01/2015 - 12/31/2018,3,1,255 E. NORTH STREET,,MADISONVILLE,KY,42431,HOPKINS,open,"255 E. NORTH STREET, MADISONVILLE, KY 42431",37.335555,-87.492992
182598,9,DAVITA SOUTH WILLIAMSON DIALYSIS,01/01/2015 - 12/31/2018,4,1,204 APPALACHIAN PLAZA,,SOUTH WILLIAMSON,KY,41503,PIKE,open,"204 APPALACHIAN PLAZA, SOUTH WILLIAMSON, KY 41503",37.667994,-82.275622
182599,9,FMC - OF HARDIN COUNTY,01/01/2015 - 12/31/2018,3,1,"1324 WOODLAND DRIVE, STE B",,ELIZABETHTOWN,KY,42701,HARDIN,open,"1324 WOODLAND DRIVE, STE B, ELIZABETHTOWN, KY 42701",37.72561,-85.88585
182600,9,DAVITA - SHEPERDSVILLE DIALYSIS,01/01/2015 - 12/31/2018,4,1,"150 BROOKS WAY, SUITE 15",,BROOKS,KY,40109,BULLITT,open,"150 BROOKS WAY, SUITE 15, BROOKS, KY 40109",38.060628,-85.705299
182601,9,DAVITA - HAMBURG DIALYSIS,01/01/2015 - 12/31/2018,5,1,"1745 ALYSHEBA WAY, SUITE 110",,LEXINGTON,KY,40509,FAYETTE,open,"1745 ALYSHEBA WAY, SUITE 110, LEXINGTON, KY 40509",38.015605,-84.424387
182602,9,FMC - WINCHESTER,01/01/2015 - 12/31/2018,3,1,1145 W. LEXINGTON AVE.,,WINCHESTER,KY,40391,CLARK,open,"1145 W. LEXINGTON AVE., WINCHESTER, KY 40391",38.00173,-84.19938
182603,9,DAVITA - BOURBON COUNTY DIALYSIS,01/01/2015 - 12/31/2018,3,1,213 LETTON DRIVE,,PARIS,KY,40361,BOURBON,open,"213 LETTON DRIVE, PARIS, KY 40361",38.195574,-84.276469
182604,9,DAVITA - 12TH ST. COVINGTON DIALYSIS,01/01/2015 - 12/31/2018,4,1,"1500 JAMES SIMPSON JR. WAY, STE. 1100",,COVINGTON,KY,41011,KENTON,open,"1500 JAMES SIMPSON JR. WAY, STE. 1100, COVINGTON, KY 41011",39.071666,-84.518049
182605,9,FMC - SHEPHERDSVILLE,01/01/2015 - 12/31/2018,5,1,421 ADAM SHEPHERD PARKWAY,,SHEPHERDSVILLE,KY,40165,BULLITT,open,"421 ADAM SHEPHERD PARKWAY, SHEPHERDSVILLE, KY 40165",37.994301,-85.711568
182606,9,DAVITA - VERSAILLES DIALYSIS,01/01/2015 - 12/31/2018,4,1,"480 LEXINGTON ROAD STE, E",,VERSAILLES,KY,40383,WOODFORD,closed,"480 LEXINGTON ROAD STE, E, VERSAILLES, KY 40383",38.049777,-84.716207
182607,9,FMC - CAMPBELLSVILLE,01/01/2015 - 12/31/2018,5,1,107 MEDICAL PARK DRIVE,,CAMPBELLSVILLE,KY,42718,TAYLOR,open,"107 MEDICAL PARK DRIVE, CAMPBELLSVILLE, KY 42718",37.364379,-85.34212
182608,9,FMC - TRIGG COUNTY,01/01/2015 - 12/31/2018,5,1,2484 MAIN STREET,,CADIZ,KY,42211,TRIGG,open,"2484 MAIN STREET, CADIZ, KY 42211",36.866739,-87.797818
182609,9,FMC - CENTRAL ASHLAND,01/01/2015 - 12/31/2018,4,1,424 RIVER HILL DRIVE,,ASHLAND,KY,41101,BOYD,open,"424 RIVER HILL DRIVE, ASHLAND, KY 41101",38.48507,-82.661178
182610,9,FMC - MASONIC HOME DIALYSIS,01/01/2015 - 12/31/2018,3,1,3501 MOYERS CIRCLE SUITE 200,,MASONIC HOME,KY,40041,JEFFERSON,open,"3501 MOYERS CIRCLE SUITE 200, MASONIC HOME, KY 40041",38.256885,-85.66825
182611,9,DAVITA - RADCLIFF DIALYSIS,01/01/2015 - 12/31/2018,4,1,180 EAST LINCOLN TRAIL BLVD,,RADCLIFF,KY,40160,HARDIN,open,"180 EAST LINCOLN TRAIL BLVD, RADCLIFF, KY 40160",37.8401,-85.93592
182612,9,AMERICAN HOME DIALYSIS,01/01/2015 - 12/31/2018,3,1,721 SOUTH PRESTON STREET,,LOUISVILLE,KY,40202,JEFFERSON,open,"721 SOUTH PRESTON STREET, LOUISVILLE, KY 40202",38.24443,-85.747458
182613,9,FMC - KENTUCKIANA HOME THERAPIES,01/01/2015 - 12/31/2018,Not Available,260,"6400 DUTCHMANS PARKWAY, STE. 145",,LOUISVILLE,KY,40205,JEFFERSON,open,"6400 DUTCHMANS PARKWAY, STE. 145, LOUISVILLE, KY 40205",38.228788,-85.641748
182614,9,DAVITA - SHELBYVILLE ROAD DIALYSIS,01/01/2015 - 12/31/2018,3,1,"4600 SHELBYVILLE ROAD, STE 310",,LOUISVILLE,KY,40207,JEFFERSON,open,"4600 SHELBYVILLE ROAD, STE 310, LOUISVILLE, KY 40207",38.24739,-85.63045
182615,9,DAVITA - DIALYSIS OF WARREN COUNTY,01/01/2015 - 12/31/2018,2,1,391 SUWANNEE TRAIL ST.,,BOWLING GREEN,KY,42103,WARREN,open,"391 SUWANNEE TRAIL ST., BOWLING GREEN, KY 42103",36.96614,-86.39978
182616,9,DAVITA - GENERAL BUTLER DIALYSIS,01/01/2015 - 12/31/2018,5,1,329 FLOYD DRIVE,SUITE B,CARROLLTON,KY,41008,CARROLL,open,"329 FLOYD DRIVE, CARROLLTON, KY 41008",38.659651,-85.13095
182618,9,FMC -LAKE CUMBERLAND,01/01/2015 - 12/31/2018,5,1,140 STONECREST DR.,,SOMERSET,KY,42501,PULASKI,open,"140 STONECREST DR., SOMERSET, KY 42501",37.092099,-84.604642
182619,9,DIALYSIS SERVICES OF PINEVILLE,01/01/2015 - 12/31/2018,4,1,12904 ROBERT L MADON BYPASS,,PINEVILLE,KY,40977,BELL,open,"12904 ROBERT L MADON BYPASS, PINEVILLE, KY 40977",36.75613,-83.69314
182620,9,KUMAR DIALYSIS FLORENCE,01/01/2015 - 12/31/2018,2,1,47 CAVALIER BLVD  STE 140,,FLORENCE,KY,41042,BOONE,closed,"47 CAVALIER BLVD  STE 140, FLORENCE, KY 41042",39.008756,-84.633141
182621,9,DIALYSIS SERVICES OF LONDON,01/01/2015 - 12/31/2018,3,1,306 SOUTH PLAZA,,LONDON,KY,40741,LAUREL,open,"306 SOUTH PLAZA, LONDON, KY 40741",37.10578,-84.08123
182622,9,FMC - EDGEWOOD,01/01/2015 - 12/31/2018,2,1,210 THOMAS MORE PARKWAY,SUITE 1,CRESTVIEW HILLS,KY,41017,KENTON,closed,"210 THOMAS MORE PARKWAY, CRESTVIEW HILLS, KY 41017",39.023395,-84.570337
182623,9,UNIVERSITY KIDNEY CENTER HIKES LANE LLC,01/01/2015 - 12/31/2018,5,1,2271 HIKES LANE,,LOUISVILLE,KY,40218,JEFFERSON,open,"2271 HIKES LANE, LOUISVILLE, KY 40218",38.20096,-85.658221
182624,9,UNIVERSITY KIDNEY CENTER - BROADWAY,01/01/2015 - 12/31/2018,3,1,2821 W BROADWAY,,LOUISVILLE,KY,40211,JEFFERSON,open,"2821 W BROADWAY, LOUISVILLE, KY 40211",38.250917,-85.799315
182625,9,"UNIVERSITY KIDNEY CENTER BLUEGRASS, LLC",01/01/2015 - 12/31/2018,3,1,"1935 BLUEGRASS AVE., SUITE 100",,LOUISVILLE,KY,40215,JEFFERSON,open,"1935 BLUEGRASS AVE., SUITE 100, LOUISVILLE, KY 40215",38.180367,-85.798299
182626,9,DAVITA - OWENSBORO HOME DIALYSIS,01/01/2015 - 12/31/2018,5,1,3250 KIDRON VALLEY WAY,,OWENSBORO,KY,42303,DAVIESS,open,"3250 KIDRON VALLEY WAY, OWENSBORO, KY 42303",37.7551,-87.05836
182627,9,DAVITA - KENTUCKY HOME TRAINING,01/01/2015 - 12/31/2018,Not Available,260,"2130 NICHOLASVILLE ROAD, SUITE 5",,LEXINGTON,KY,40503,FAYETTE,open,"2130 NICHOLASVILLE ROAD, SUITE 5, LEXINGTON, KY 40503",38.00983,-84.516355
182628,9,"FMC - NAK BEREA, LLC",01/01/2015 - 12/31/2018,5,1,509 RICHMOND ROAD N,,BEREA,KY,40403,MADISON,open,"509 RICHMOND ROAD N, BEREA, KY 40403",37.591948,-84.284117
182629,9,FMC - HOPKINSVILLE,01/01/2015 - 12/31/2018,4,1,510 HERITAGE WAY,,HOPKINSVILLE,KY,42240,CHRISTIAN,open,"510 HERITAGE WAY, HOPKINSVILLE, KY 42240",36.824337,-87.505436
182630,9,DAVITA PORTLAND DIALYSIS,01/01/2015 - 12/31/2018,2,1,2118 PORTLAND AVE,,LOUISVILLE,KY,40212,JEFFERSON,closed,"2118 PORTLAND AVE, LOUISVILLE, KY 40212",38.26844,-85.78346
182631,9,"FMC-NAK RADCLIFF, LLC",01/01/2015 - 12/31/2018,4,1,211 E LINCOLN TRAIL BLVD,,RADCLIFF,KY,40160,HARDIN,open,"211 E LINCOLN TRAIL BLVD, RADCLIFF, KY 40160",37.84103,-85.93522
182632,9,"BIO-MEDICAL APPLICATION OF KENTUCKY, INC.",01/01/2015 - 12/31/2018,4,1,1834 LYDA AVENUE,,BOWLING GREEN,KY,42104,WARREN,open,"1834 LYDA AVENUE, BOWLING GREEN, KY 42104",36.96489,-86.4346
182633,9,FMC- LEXINGTON SOUTHWEST,01/01/2015 - 12/31/2018,3,1,978 CHAS DRIVE,,LEXINGTON,KY,40515,FAYETTE,open,"978 CHAS DRIVE, LEXINGTON, KY 40515",37.96615,-84.49899
182634,9,FMC- WAYNE COUNTY,01/01/2015 - 12/31/2018,5,1,40 WALMART PLAZA DRIVE,,MONTICELLO,KY,42633,WAYNE,open,"40 WALMART PLAZA DRIVE, MONTICELLO, KY 42633",36.85547,-84.8484
182635,9,SAGUARO DIALYSIS LLC,01/01/2015 - 12/31/2018,3,1,50 CHURCH VIEW STREET,,SHELBYVILLE,KY,40065,SHELBY,open,"50 CHURCH VIEW STREET, SHELBYVILLE, KY 40065",38.211032,-85.23904
182636,9,DAVITA-WALTON DIALYSIS,01/01/2015 - 12/31/2018,5,1,13250 SERVICE ROAD,,WALTON,KY,41094,BOONE,open,"13250 SERVICE ROAD, WALTON, KY 41094",38.855363,-84.621262
182637,9,BRIDGEVIEW DIALYSIS,01/01/2015 - 12/31/2018,5,1,2480 US HIGHWAY 41 N SUITE J,,HENDERSON,KY,42420,HENDERSON,open,"2480 US HIGHWAY 41 N SUITE J, HENDERSON, KY 42420",37.871379,-87.5682
182638,9,DAVITA LOST RIVER DIALYSIS,01/01/2015 - 12/31/2018,Not Available,260,737 DISHMAN LANE,,BOWLING GREEN,KY,42101,WARREN,closed,"737 DISHMAN LANE, BOWLING GREEN, KY 42101",36.948962,-86.470059
182639,9,FRESENIUS KIDNEY CARE STANFORD,01/01/2015 - 12/31/2018,5,1,29 FRONTIER BLVD,,STANFORD,KY,40484,LINCOLN,open,"29 FRONTIER BLVD, STANFORD, KY 40484",37.54851,-84.67257
182640,9,"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC.",01/01/2015 - 12/31/2018,Not Available,260,"23A STREET, SUITE A",,LOUISA,KY,41230,LAWRENCE,open,"23A STREET, SUITE A, LOUISA, KY 41230",38.2407,-82.793886
182641,9,"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC",01/01/2015 - 12/31/2018,Not Available,260,"1112 S MAIN STREET,",SUITE 11,FRANKLIN,KY,42134,SIMPSON,open,"1112 S MAIN STREET,, FRANKLIN, KY 42134",36.701021,-86.574356
182642,9,"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC.",01/01/2015 - 12/31/2018,Not Available,260,1715 GAGEL AVENUE,,LOUISVILLE,KY,40216,JEFFERSON,closed,"1715 GAGEL AVENUE, LOUISVILLE, KY 40216",38.17473,-85.81936
182643,9,DIALYSIS CLINIC INC,01/01/2015 - 12/31/2018,Not Available,258,145 NEWCOMB AVENUE,,MOUNT VERNON,KY,40456,ROCKCASTLE,open,"145 NEWCOMB AVENUE, MOUNT VERNON, KY 40456",37.357286,-84.336387
192308,13,WILLIS KNIGHTON MED CTR-DIALYSIS,01/01/2015 - 12/31/2018,2,1,1111 LINE AVENUE,,SHREVEPORT,LA,71101,CADDO,open,"1111 LINE AVENUE, SHREVEPORT, LA 71101",32.502905,-93.745665
192322,13,LADY OF THE SEA DIALYSIS CTR,01/01/2015 - 12/31/2018,5,1,17108 W MAIN ST,,CUT OFF,LA,70345,LAFOURCHE,open,"17108 W MAIN ST, CUT OFF, LA 70345",29.457944,-90.308252
192325,13,CHILDRENS HOSPITAL-DIALYSIS,01/01/2015 - 12/31/2018,Not Available,260,200 HENRY CLAY AVE,,NEW ORLEANS,LA,70118,ORLEANS,open,"200 HENRY CLAY AVE, NEW ORLEANS, LA 70118",29.917571,-90.127798
192501,13,FMCNA - BATON ROUGE,01/01/2015 - 12/31/2018,5,1,524 COLONIAL DR,,BATON ROUGE,LA,70806,EAST BATON ROUGE,open,"524 COLONIAL DR, BATON ROUGE, LA 70806",30.446306,-91.098916
