CMS Certification Number (CCN),Network,Facility Name,Five Star Date,Five Star,Five Star Data Availability Code,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,Profit or Non-Profit,Chain Owned,Chain Organization,Late Shift,# of Dialysis Stations,Offers in-center hemodialysis,Offers peritoneal dialysis,Offers home hemodialysis training,Certification Date,Claims Date,EQRS Date,SMR Date,Patient Survival Category Text,Patient Survival data availability code,Number of Patients included in survival summary,Mortality Rate (Facility),Mortality Rate: Upper Confidence Limit (97.5%),Mortality Rate: Lower Confidence Limit (2.5%),SHR Date,Patient hospitalization category text,Patient Hospitalization data availability Code,Number of patients included in hospitalization summary,Hospitalization Rate (Facility),Hospitalization Rate: Upper Confidence Limit (97.5%),Hospitalization Rate: Lower Confidence Limit (2.5%),SRR Date,Patient Hospital Readmission Category,Patient Hospital Readmission data availability Code,Number of hospitalizations included in hospital readmission summary,Readmission Rate (Facility),Readmission Rate: Upper Confidence Limit (97.5%),Readmission Rate: Lower Confidence Limit (2.5%),STrR Date,Patient Transfusion category text,Patient Transfusion data availability Code,Number of patients included in the transfusion summary,Transfusion Rate (Facility),Transfusion Rate: Upper Confidence Limit (97.5%),Transfusion Rate: Lower Confidence Limit (2.5%),SWR Date,SWR category text,Patient transplant waitlist data availability code,Number of patients in this facility for SWR,Standardized First Kidney Transplant Waitlist Ratio,95% C.I. (upper limit) for SWR,95% C.I. (lower limit) for SWR,PPPW category text,Patient prevalent transplant waitlist data availability code,Number of patients for PPPW,Percentage of Prevalent Patients Waitlisted,95% C.I. (upper limit) for PPPW,95% C.I. (lower limit) for PPPW,SEDR Date,SEDR category text,Emergency Department Encounter data availability Code,Number of patients included in SEDR summary,Standardized ED visits ratio (Facility),SEDR: Upper Confidence Limit (97.5%),SEDR: Lower Confidence Limit (2.5%),ED30 Date,ED30 Category text,Emergency Department Encounter Ratio Occurring within 30 Days of Hospital Discharge data availability Code,Number of hospitalizations included in ED30 summary,Standardized ED visits within 30 days of hospital discharge ratio (Facility),ED30: Upper Confidence Limit (97.5%),ED30: Lower Confidence Limit (2.5%),YEARS Modality Switch BASED UPON,SMoSR: Classification Category (FACILITY),Modality Switch Data Availability Code,SMoSR: Number of Eligible patients (FACILITY),SMoSR: Standardized Modality Switch Ratio (FACILITY),SMoSR: Upper Confidence Limit (FACILITY),SMoSR: Lower Confidence Limit (FACILITY),SIR Date,Patient Infection category text,Patient Infection Data Availability Code,Standard Infection Ratio,SIR: Upper Confidence Limit (97.5%),SIR: Lower Confidence Limit (2.5%),Fistula Category Text,Fistula data availability code,Number of Patients included in fistula summary,Fistula Rate (Facility),Fistula Rate: Upper Confidence Limit (97.5%),Fistula Rate: Lower Confidence Limit (2.5%),HCP Vaccination Data Collection Dates,HCP Vaccination Data Availability Code,Healthcare worker COVID-19 vaccination adherence percentage,Adult HD Kt/V data availability code,Number of adult HD patients with KT/V data,Number of adult HD patient-months with Kt/V data,Percent of Adult HD patients with Kt/V >= 1.2,Adult PD Kt/V data availability code,Number of adult PD patients with KT/V data,Number of adult PD patient-months with Kt/V data,Percentage of Adult PD PTS with Kt/V >= 1.7,Pediatric HD Kt/V Data Availability Code,Number of pediatric HD patients with Kt/V data,Number of pediatric HD patient-months with KT/V data,Percentage of Pediatric HD patients with Kt/V >= 1.2,Pediatric PD Kt/V Data Availability Code,Number of pediatric PD patients with Kt/V data,Number of pediatric PD patient-months with KT/V data,Percentage of pediatric PD patients with Kt/V>=1.8,Percentage of Medicare patients with Hgb<10 g/dL,HGB<10 data availability code,Percentage of Medicare patients with Hgb>12 g/dL,Hgb > 12 data availability code,Number of Dialysis Patients with Hgb data,Hypercalcemia Data Availability Code,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL),Serum phosphorus Data Availability Code,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary,Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL,Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL,Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL,Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL,Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL,Long term catheter Data Availability Code,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Percentage of Adult patients with long term catheter in use,nPCR Data Availability Code,Number of patients in nPCR summary,Number of patient-months in nPCR summary,Percentage of pediatric HD patients with nPCR,dfc_new,full_address,latitude,longitude,census_tract
362723,9,FMC - DELAWARE DIALYSIS,01Jan2020-31Dec2023,3,1,36 TROY ROAD,,DELAWARE,OH,43015,Delaware,(740) 363-7171,Profit,Yes,Fresenius Medical Care,No,13,Yes,Yes,Yes,15SEP2008,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,156,27.7,43.2,17.2,01Jan2023-31Dec2023,As Expected,1,41,172.9,283,113.1,01Jan2023-31Dec2023,As Expected,1,42,28.8,44,16.4,01Jan2023-31Dec2023,Not Available,199,12,,,,01Jan2020-31Dec2022,Not Available,199,14,,,,As Expected,1,28,13.5,39.1,3.7,01Jan2023-31Dec2023,As Expected,1,13,1.01,3.06,0.35,01Jan2022-31Dec2023,As Expected,1,18,1.97,3.96,0.6,01Jan2020-31Dec2022,As Expected,1,15,2.41,7.05,0.5,01Jan2023-31Dec2023,As Expected,1,0,1.17,,As Expected,1,32,71,97.1,43.1,01APR2024-30JUN2024,1,0,1,29,227,99,1,16,104,98,259,0,,,259,0,,,,199,,199,4,1,43,336,1,1,45,356,8,23,30,24,15,1,32,244,15,259,0,,,existing,"36 TROY ROAD, DELAWARE, OH 43015",40.307505,-83.088916,39041010422
362724,9,FRESENIUS KIDNEY CARE TALAWANDA,01Jan2020-31Dec2023,2,1,5148 COLLEGE CORNER PIKE,,OXFORD,OH,45056,Butler,(513) 523-5960,Profit,Yes,Fresenius Medical Care,No,12,Yes,No,No,11SEP2008,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,94,21.3,36.4,11.2,01Jan2023-31Dec2023,As Expected,1,24,192.9,387.1,105.8,01Jan2023-31Dec2023,As Expected,1,11,20.1,57.7,2.7,01Jan2023-31Dec2023,Not Available,199,7,,,,01Jan2020-31Dec2022,Not Available,199,8,,,,Not Available,199,10,,,,01Jan2023-31Dec2023,As Expected,1,10,0.75,2.65,0.23,01Jan2022-31Dec2023,Not Available,199,9,,,,01Jan2020-31Dec2022,As Expected,1,20,2.25,5.77,0.61,01Jan2023-31Dec2023,As Expected,1,0,1.71,,As Expected,1,19,48.1,98.5,0,01APR2024-30JUN2024,1,0,1,18,141,99,257,0,,,259,0,,,259,0,,,,199,,199,5,1,18,141,0,1,20,151,3,25,25,32,15,1,19,149,35,259,0,,,existing,"5148 COLLEGE CORNER PIKE, OXFORD, OH 45056",39.516712,-84.75509,39017010102
362725,9,FMC - KINGS MILLS,01Jan2020-31Dec2023,1,1,1992 KING AVENUE,,KINGS MILLS,OH,45034,Warren,(513) 204-5555,Profit,Yes,Fresenius Medical Care,No,12,Yes,No,No,23SEP2008,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,151,23.2,35.2,14.4,01Jan2023-31Dec2023,As Expected,1,45,167.2,272.5,111.1,01Jan2023-31Dec2023,As Expected,1,49,28.4,44.3,15.5,01Jan2023-31Dec2023,Not Available,199,11,,,,01Jan2020-31Dec2022,As Expected,1,25,0.48,2.65,0.01,Worse than Expected,1,36,0.4,14.4,0,01Jan2023-31Dec2023,As Expected,1,17,0.56,1.83,0.18,01Jan2022-31Dec2023,As Expected,1,31,0.46,1.58,0.05,01Jan2020-31Dec2022,As Expected,1,43,1.69,3.67,0.62,01Jan2023-31Dec2023,As Expected,1,1.64,3.01,0.8,As Expected,1,55,38.2,66.5,7.9,01APR2024-30JUN2024,1,0,1,48,383,100,257,0,,,259,0,,,259,0,,,18,1,0,1,11,1,53,414,1,1,57,447,4,19,30,25,21,1,55,420,38,259,0,,,existing,"1992 KING AVENUE, KINGS MILLS, OH 45034",39.357192,-84.252805,39165032003
362728,9,DaVita Dublin Dialysis,01Jan2020-31Dec2023,4,1,6770 PERIMETER DRIVE,,DUBLIN,OH,43016,Franklin,(614) 798-8359,Profit,Yes,DaVita,No,12,Yes,No,No,27AUG2008,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,172,21.3,34.3,12.8,01Jan2023-31Dec2023,As Expected,1,38,130.9,236.3,78.7,01Jan2023-31Dec2023,As Expected,1,27,24.8,47.9,9.3,01Jan2023-31Dec2023,Not Available,199,15,,,,01Jan2020-31Dec2022,Not Available,199,18,,,,As Expected,1,27,16,56.4,2.7,01Jan2023-31Dec2023,As Expected,1,18,0.2,1.38,0.03,01Jan2022-31Dec2023,As Expected,1,31,1.5,3.44,0.42,01Jan2020-31Dec2022,As Expected,1,41,1.49,3.48,0.48,01Jan2023-31Dec2023,As Expected,1,0.33,1.63,0.02,As Expected,1,46,66.3,93.7,37.1,01APR2024-30JUN2024,1,0,1,43,322,99,257,0,,,259,0,,,259,0,,,15,1,0,1,13,1,44,336,0,1,46,354,4,21,33,30,12,1,46,356,10,259,0,,,existing,"6770 PERIMETER DRIVE, DUBLIN, OH 43016",40.106189,-83.168745,39049010502
362729,9,DaVita Midwest Urbana Dialysis,01Jan2020-31Dec2023,3,1,1430 E US HIGHWAY 36,,URBANA,OH,43078,Champaign,(937) 484-4600,Profit,Yes,DaVita,No,12,Yes,Yes,No,23OCT2008,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,125,32.4,47.7,20.9,01Jan2023-31Dec2023,As Expected,1,33,80,172.1,41.3,01Jan2023-31Dec2023,As Expected,1,16,17.4,41.4,3.9,01Jan2023-31Dec2023,Not Available,199,17,,,,01Jan2020-31Dec2022,Not Available,199,17,,,,As Expected,1,27,17.5,58.8,3.1,01Jan2023-31Dec2023,As Expected,1,18,0.6,1.63,0.23,01Jan2022-31Dec2023,As Expected,1,21,0,1.05,0,01Jan2020-31Dec2022,As Expected,1,24,1.39,4.06,0.29,01Jan2023-31Dec2023,Better than Expected,1,0,0.78,,As Expected,1,28,55.6,90.6,18.1,01APR2024-30JUN2024,1,0,1,19,124,100,199,8,68,,259,0,,,259,0,,,,199,,199,9,1,33,293,3,1,36,308,4,23,29,24,19,1,28,232,23,259,0,,,existing,"1430 E US HIGHWAY 36, URBANA, OH 43078",40.10681,-83.724175,39021010500
362731,9,DaVita Rockside Dialysis,01Jan2020-31Dec2023,3,1,4801 ACORN DRIVE,,INDEPENDENCE,OH,44131,Cuyahoga,(216) 525-0990,Profit,Yes,DaVita,No,16,Yes,No,Yes,21NOV2008,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,194,22.4,34.4,14.3,01Jan2023-31Dec2023,As Expected,1,41,172.9,284.4,112.5,01Jan2023-31Dec2023,As Expected,1,35,23.6,42.7,10.5,01Jan2023-31Dec2023,Not Available,199,14,,,,01Jan2020-31Dec2022,As Expected,1,22,0.97,3.5,0.12,As Expected,1,40,12.2,43.8,2.4,01Jan2023-31Dec2023,As Expected,1,18,0.45,2.01,0.11,01Jan2022-31Dec2023,As Expected,1,22,0.7,2.35,0.08,01Jan2020-31Dec2022,As Expected,1,30,0.73,2.65,0.09,01Jan2023-31Dec2023,Better than Expected,1,0,0.77,,As Expected,1,54,53.6,80.8,24.5,01APR2024-30JUN2024,1,7,1,52,408,99,199,7,32,,259,0,,,259,0,,,13,1,0,1,15,1,57,451,1,1,59,469,4,19,26,26,23,1,54,434,18,259,0,,,existing,"4801 ACORN DRIVE, INDEPENDENCE, OH 44131",41.393446,-81.658206,39035156101
362732,9,DaVita Logan Dialysis,01Jan2020-31Dec2023,3,1,12880 GREY STREET,,LOGAN,OH,43138,Hocking,(740) 380-6049,Profit,Yes,DaVita,No,12,Yes,Yes,No,10DEC2008,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,150,24.5,36.3,15.7,01Jan2023-31Dec2023,As Expected,1,32,166.7,288.7,103.8,01Jan2023-31Dec2023,As Expected,1,33,37.1,53.5,22,01Jan2023-31Dec2023,Not Available,199,16,,,,01Jan2020-31Dec2022,Not Available,199,17,,,,As Expected,1,29,5.2,59.8,0.2,01Jan2023-31Dec2023,Worse than Expected,1,18,1.93,3.81,1.01,01Jan2022-31Dec2023,As Expected,1,32,1.07,2.4,0.3,01Jan2020-31Dec2022,As Expected,1,27,2.02,4.72,0.66,01Jan2023-31Dec2023,As Expected,1,0.44,2.16,0.02,As Expected,1,33,48.6,84.9,9.8,01APR2024-30JUN2024,1,6,1,28,175,94,1,13,93,91,259,0,,,259,0,,,,199,,199,8,1,38,299,6,1,41,300,9,19,28,27,17,1,33,223,16,259,0,,,existing,"12880 GREY STREET, LOGAN, OH 43138",39.541902,-82.44725,39073965200
362733,9,KIDNEY CARE CENTERS OF ZANESVILLE,01Jan2020-31Dec2023,3,1,3239 MAPLE AVENUE,,ZANESVILLE,OH,43701,Muskingum,(740) 450-1655,Profit,Yes,American Renal Associates,No,25,Yes,Yes,Yes,17DEC2008,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,433,23.2,33.7,16.5,01Jan2023-31Dec2023,As Expected,1,96,154.4,239.8,105.7,01Jan2023-31Dec2023,As Expected,1,120,27.5,40.4,18.2,01Jan2023-31Dec2023,As Expected,1,32,26.7,102.6,9.5,01Jan2020-31Dec2022,As Expected,1,67,2.03,3.85,0.93,As Expected,1,84,7.7,27.8,1.8,01Jan2023-31Dec2023,As Expected,1,41,0.93,1.84,0.51,01Jan2022-31Dec2023,As Expected,1,60,1.07,1.98,0.47,01Jan2020-31Dec2022,As Expected,1,85,0.9,1.97,0.33,01Jan2023-31Dec2023,Better than Expected,1,0.24,0.8,0.04,As Expected,1,113,58.1,76,38.9,01APR2024-30JUN2024,1,0,1,92,731,97,1,20,169,85,259,0,,,259,0,,,8,1,0,1,24,1,112,960,1,1,128,1043,9,25,29,22,16,1,113,856,22,259,0,,,existing,"3239 MAPLE AVENUE, ZANESVILLE, OH 43701",39.980791,-82.019521,39119911500
362734,9,DaVita Forest Fair Dialysis,01Jan2020-31Dec2023,2,1,1145 kemper meadow drive,,CINCINNATI,OH,45240,Hamilton,(513) 674-1691,Profit,Yes,DaVita,Yes,16,Yes,No,No,11DEC2008,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,280,19.8,30.7,13,01Jan2023-31Dec2023,As Expected,1,66,155.5,249.3,102.4,01Jan2023-31Dec2023,As Expected,1,58,18.1,33.3,7.5,01Jan2023-31Dec2023,Not Available,199,17,,,,01Jan2020-31Dec2022,Not Available,199,28,,,,As Expected,1,49,7.9,38.3,1.2,01Jan2023-31Dec2023,As Expected,1,20,0.57,1.74,0.2,01Jan2022-31Dec2023,As Expected,1,21,0.49,2.38,0.01,01Jan2020-31Dec2022,Better than Expected,1,40,2.83,5.21,1.36,01Jan2023-31Dec2023,As Expected,1,0.48,1.15,0.15,As Expected,1,70,40.3,63.8,15.2,01APR2024-30JUN2024,1,0,1,67,584,97,257,0,,,259,0,,,259,0,,,14,1,0,1,14,1,72,630,0,1,73,644,5,15,23,35,22,1,70,625,23,259,0,,,existing,"1145 kemper meadow drive, CINCINNATI, OH 45240",39.29205,-84.521562,39061021506
362735,9,DaVita US Grant Dialysis,01Jan2020-31Dec2023,2,1,458 HOME STREET,,GEORGETOWN,OH,45121,Brown,(937) 378-1323,Profit,Yes,DaVita,No,12,Yes,No,No,04FEB2009,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,161,23.4,34.9,14.9,01Jan2023-31Dec2023,As Expected,1,37,180.3,292,119,01Jan2023-31Dec2023,As Expected,1,47,22.8,37.2,12.2,01Jan2023-31Dec2023,Not Available,199,17,,,,01Jan2020-31Dec2022,Not Available,199,22,,,,As Expected,1,28,4.9,44.7,0.3,01Jan2023-31Dec2023,As Expected,1,21,1.14,2.41,0.56,01Jan2022-31Dec2023,As Expected,1,42,0.76,1.66,0.25,01Jan2020-31Dec2022,As Expected,1,39,1.02,2.97,0.21,01Jan2023-31Dec2023,As Expected,1,0.6,1.63,0.15,As Expected,1,38,53.1,83.5,20.5,01APR2024-30JUN2024,1,0,1,30,263,99,257,0,,,259,0,,,259,0,,,,199,,199,10,1,34,309,1,1,40,333,4,16,26,31,24,1,38,329,32,259,0,,,existing,"458 HOME STREET, GEORGETOWN, OH 45121",38.85738,-83.89868,39015951800
362736,9,DaVita Batavia Dialysis,01Jan2020-31Dec2023,1,1,4000 GOLDEN AGE DRIVE,,BATAVIA,OH,45103,Clermont,(513) 735-0700,Profit,Yes,DaVita,No,12,Yes,No,No,26MAR2009,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,213,23.4,33.8,16,01Jan2023-31Dec2023,As Expected,1,47,195.3,294.1,138.6,01Jan2023-31Dec2023,As Expected,1,74,27.3,36.5,18.4,01Jan2023-31Dec2023,Not Available,199,14,,,,01Jan2020-31Dec2022,Not Available,199,14,,,,As Expected,1,27,2.6,26.4,0.2,01Jan2023-31Dec2023,As Expected,1,17,1.26,2.31,0.7,01Jan2022-31Dec2023,Worse than Expected,1,40,1.76,2.58,1,01Jan2020-31Dec2022,As Expected,1,42,1.66,4.25,0.45,01Jan2023-31Dec2023,As Expected,1,0.83,1.73,0.34,As Expected,1,60,37.1,62.9,9.5,01APR2024-30JUN2024,1,4,1,51,361,99,257,0,,,259,0,,,259,0,,,,199,,199,10,1,56,435,3,1,61,453,9,24,29,24,13,1,60,449,44,259,0,,,existing,"4000 GOLDEN AGE DRIVE, BATAVIA, OH 45103",39.079777,-84.141528,39025041002
362737,9,FRESENIUS KIDNEY CARE CELINA,01Jan2020-31Dec2023,3,1,"801 PRO DRIVE, STE B",,CELINA,OH,45822,Mercer,(419) 586-0851,Profit,Yes,Fresenius Medical Care,No,12,Yes,Yes,No,30APR2009,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,195,25,37.1,16.5,01Jan2023-31Dec2023,As Expected,1,52,103.7,193.4,61.6,01Jan2023-31Dec2023,As Expected,1,28,18.8,38.6,6.3,01Jan2023-31Dec2023,Worse than Expected,1,23,78.5,181,41.3,01Jan2020-31Dec2022,Not Available,199,21,,,,As Expected,1,46,15.6,45.6,3.9,01Jan2023-31Dec2023,As Expected,1,31,0.49,1.47,0.18,01Jan2022-31Dec2023,As Expected,1,49,0.41,1.18,0.07,01Jan2020-31Dec2022,Better than Expected,1,36,4.06,7.27,2.03,01Jan2023-31Dec2023,As Expected,1,1.33,2.94,0.49,As Expected,1,40,70.6,98.4,40.8,01APR2024-30JUN2024,1,0,1,38,325,99,1,24,177,99,259,0,,,259,0,,,17,1,0,1,18,1,59,523,0,1,61,556,8,25,33,23,12,1,40,349,17,259,0,,,existing,"801 PRO DRIVE, STE B, CELINA, OH 45822",40.555372,-84.553869,39107967500
362739,9,DaVita Ohio Pike Dialysis,01Jan2020-31Dec2023,1,1,1761 STATE ROUTE 125,,AMELIA,OH,45102,Clermont,(513) 797-0713,Profit,Yes,DaVita,No,12,Yes,No,No,08APR2009,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,168,21.4,32.6,13.7,01Jan2023-31Dec2023,Worse than Expected,1,45,240.7,343.7,177.1,01Jan2023-31Dec2023,As Expected,1,76,24.2,33.2,16.2,01Jan2023-31Dec2023,Not Available,199,11,,,,01Jan2020-31Dec2022,Not Available,199,15,,,,As Expected,1,34,6,56.2,0.3,01Jan2023-31Dec2023,As Expected,1,14,0.34,1.8,0.07,01Jan2022-31Dec2023,As Expected,1,32,0.94,2.25,0.26,01Jan2020-31Dec2022,As Expected,1,29,0.45,2.51,0.01,01Jan2023-31Dec2023,As Expected,1,0.21,1.03,0.01,As Expected,1,52,54.7,83.9,23.5,01APR2024-30JUN2024,1,0,1,42,297,99,257,0,,,259,0,,,259,0,,,,199,,199,5,1,47,345,3,1,51,368,4,20,25,33,18,1,52,379,26,259,0,,,existing,"1761 STATE ROUTE 125, AMELIA, OH 45102",39.018252,-84.201892,39025041503
362742,9,DaVita Norwood Dialysis,01Jan2020-31Dec2023,3,1,2300 WALL STREET,STE O,CINCINNATI,OH,45212,Hamilton,(513) 531-2111,Profit,Yes,DaVita,No,25,Yes,No,No,26AUG2009,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,336,12.5,22.9,6.9,01Jan2023-31Dec2023,As Expected,1,79,114.6,190.9,73.9,01Jan2023-31Dec2023,As Expected,1,70,20.2,32.8,10.6,01Jan2023-31Dec2023,As Expected,1,24,7.1,143.5,0.7,01Jan2020-31Dec2022,Not Available,199,23,,,,As Expected,1,63,7.1,35.5,1.1,01Jan2023-31Dec2023,As Expected,1,25,0.71,1.84,0.29,01Jan2022-31Dec2023,As Expected,1,52,0.78,1.84,0.22,01Jan2020-31Dec2022,As Expected,1,39,0.86,2.52,0.18,01Jan2023-31Dec2023,Better than Expected,1,0.35,0.94,0.09,As Expected,1,84,40.4,61.1,18.3,01APR2024-30JUN2024,1,0,1,78,743,99,257,0,,,259,0,,,259,0,,,0,1,0,1,13,1,80,778,0,1,88,791,9,20,28,27,16,1,84,768,15,259,0,,,existing,"2300 WALL STREET, CINCINNATI, OH 45212",39.16226,-84.45189,39061025401
362744,9,DaVita Cherry Valley Dialysis,01Jan2020-31Dec2023,2,1,1627 W. MAIN STREET,,NEWARK,OH,43055,Licking,(740) 522-1699,Profit,Yes,DaVita,No,26,Yes,Yes,Yes,24SEP2009,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,362,23.8,35.1,16.7,01Jan2023-31Dec2023,As Expected,1,85,118,201.9,74.4,01Jan2023-31Dec2023,As Expected,1,66,35.3,52.6,21,01Jan2023-31Dec2023,As Expected,1,33,20.2,77.9,7.2,01Jan2020-31Dec2022,Not Available,199,43,,,,As Expected,1,76,11.3,36.3,2.7,01Jan2023-31Dec2023,As Expected,1,41,1.41,2.64,0.87,01Jan2022-31Dec2023,As Expected,1,73,1.5,2.48,0.74,01Jan2020-31Dec2022,As Expected,1,80,1.9,3.49,0.91,01Jan2023-31Dec2023,Better than Expected,1,0,0.33,,As Expected,1,98,58.4,78.5,36.9,01APR2024-30JUN2024,1,0,1,86,684,99,1,25,177,98,259,0,,,259,0,,,8,1,0,1,25,1,107,877,0,1,117,969,8,25,25,24,19,1,98,751,27,259,0,,,existing,"1627 W. MAIN STREET, NEWARK, OH 43055",40.04357,-82.46264,39089753302
362746,9,FMC-LIBERTY DIALYSIS-KENWOOD,01Jan2020-31Dec2023,2,1,8251 PINE ROAD,SUITE 110,CINCINNATI,OH,45236,Hamilton,(513) 745-0800,Profit,Yes,Fresenius Medical Care,No,24,Yes,Yes,Yes,29OCT2009,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,460,17.4,27,11.4,01Jan2023-31Dec2023,As Expected,1,108,148.5,226.4,103.4,01Jan2023-31Dec2023,As Expected,1,108,27.1,40.7,16.9,01Jan2023-31Dec2023,As Expected,1,24,61.5,210.5,23.9,01Jan2020-31Dec2022,As Expected,1,47,1.67,4.28,0.46,As Expected,1,87,17.3,38,6.7,01Jan2023-31Dec2023,As Expected,1,33,0.99,2.04,0.49,01Jan2022-31Dec2023,As Expected,1,48,0.84,1.91,0.28,01Jan2020-31Dec2022,Better than Expected,1,57,2.64,4.72,1.32,01Jan2023-31Dec2023,As Expected,1,0.8,1.58,0.35,Worse than Expected,1,107,35,54.7,13.8,01APR2024-30JUN2024,1,0,1,87,679,99,1,24,175,91,259,0,,,259,0,,,40,1,0,1,15,1,116,1000,1,1,126,1051,7,25,31,22,15,1,107,844,38,259,0,,,existing,"8251 PINE ROAD, CINCINNATI, OH 45236",39.208625,-84.385062,39061024001
362747,9,FMC - LIBERTY NORWOOD,01Jan2020-31Dec2023,1,1,2071 SHERMAN AVENUE,,NORWOOD,OH,45212,Hamilton,(513) 841-1800,Profit,Yes,Fresenius Medical Care,No,24,Yes,Yes,Yes,19NOV2009,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,422,19.6,31.6,12.4,01Jan2023-31Dec2023,Worse than Expected,1,80,209,307.6,148.5,01Jan2023-31Dec2023,As Expected,1,89,24.3,36.4,15,01Jan2023-31Dec2023,Not Available,199,24,,,,01Jan2020-31Dec2022,As Expected,1,45,0.5,1.81,0.06,As Expected,1,74,9.4,29.3,2.5,01Jan2023-31Dec2023,As Expected,1,29,0.69,1.73,0.29,01Jan2022-31Dec2023,As Expected,1,42,0.6,1.75,0.11,01Jan2020-31Dec2022,As Expected,1,50,1.8,3.54,0.78,01Jan2023-31Dec2023,As Expected,1,0.62,1.69,0.16,As Expected,1,83,50,70.7,27.9,01APR2024-30JUN2024,1,0,1,64,497,97,1,19,122,94,199,1,7,,259,0,,,53,1,0,1,17,1,98,791,2,1,100,831,6,25,30,24,15,1,83,685,26,199,1,7,,existing,"2071 SHERMAN AVENUE, NORWOOD, OH 45212",39.160091,-84.45772,39061025500
362748,9,DaVita Rivers Edge Dialysis,01Jan2020-31Dec2023,3,1,"1006 E. STATE ST., STE. B",,ATHENS,OH,45701,Athens,(740) 592-1364,Profit,Yes,DaVita,No,12,Yes,Yes,No,04NOV2009,01JUL2023-30JUN2024,01JUL2023-30JUN2024,01Jan2020-31Dec2023,As Expected,1,160,25.1,37.2,16.1,01Jan2023-31Dec2023,As Expected,1,41,133.7,243.3,81.1,01Jan2023-31Dec2023,As Expected,1,37,20,38,8.3,01Jan2023-31Dec2023,As Expected,1,21,0,42.1,0,01Jan2020-31Dec2022,Not Available,199,24,,,,As Expected,1,41,6.5,43,0.6,01Jan2023-31Dec2023,As Expected,1,23,1.16,2.57,0.54,01Jan2022-31Dec2023,As Expected,1,33,1.63,3.21,0.56,01Jan2020-31Dec2022,Better than Expected,1,38,6.16,10,3.18,01Jan2023-31Dec2023,Better than Expected,1,0,0.7,,As Expected,1,46,49.5,81.1,15.8,01APR2024-30JUN2024,1,0,1,39,283,100,1,16,110,95,259,0,,,259,0,,,0,1,0,1,14,1,53,414,0,1,57,447,4,15,26,32,23,1,46,326,13,259,0,,,existing,"1006 E. STATE ST., STE. B, ATHENS, OH 45701",39.336624,-82.056347,39009973400
